fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,tvpi,net_irr,source,reporting_period,scraped_date
"Starwood Global Opportunity Fund VIII, LP",2008,75000000.0,61953522.0,97261146.0,,1.74,0.1245,Louisiana Teachers,2019-Q4,2025-02-19
"Walton Street Real Estate Fund VI, L.P.",2008,50000000.0,41739499.0,48134416.0,,1.57,0.08539999999999999,Louisiana Teachers,2019-Q4,2025-02-19
"Carlyle Realty Partners VI, L.P.",2011,75000000.0,35410411.0,71174513.0,,1.88,0.17149999999999999,Louisiana Teachers,2019-Q4,2025-02-19
"Crow Holdings Realty Partners VI, L.P.",2012,80000000.0,72764535.0,84986694.0,,1.41,0.1106,Louisiana Teachers,2019-Q4,2025-02-19
Walton Street Real Estate Fund VII LP,2012,50000000.0,35136806.0,39278134.0,,1.51,0.11460000000000001,Louisiana Teachers,2019-Q4,2025-02-19
Blackstone Real Estate Partners Europe IV LP,2013,50000000.0,47370728.0,56581098.0,,1.51,0.13970000000000002,Louisiana Teachers,2019-Q4,2025-02-19
Oaktree Real Estate Opportunities Fund VI LP,2013,50000000.0,43500000.0,45996058.0,,1.47,0.0931,Louisiana Teachers,2019-Q4,2025-02-19
Carlyle Realty Partners VII LP,2014,50000000.0,27437292.0,24461919.0,,1.49,0.1217,Louisiana Teachers,2019-Q4,2025-02-19
Blackstone Real Estate Partners VIII LP,2015,50000000.0,44832244.0,14408331.0,,1.37,0.1591,Louisiana Teachers,2019-Q4,2025-02-19
Crow Holdings Realty Partners VII LP,2015,50000000.0,44900697.0,31763557.0,,1.31,0.1188,Louisiana Teachers,2019-Q4,2025-02-19
Kayne Anderson Real Estate Partners IV LP,2015,35000000.0,33807147.0,28060269.0,,1.42,0.1407,Louisiana Teachers,2019-Q4,2025-02-19
Related Real Estate Recovery Fund II LP,2015,35000000.0,27301090.0,7339219.0,,1.2,0.1189,Louisiana Teachers,2019-Q4,2025-02-19
Rockpoint Real Estate Fund V LP,2015,50000000.0,37524281.0,7824576.0,,1.23,0.1032,Louisiana Teachers,2019-Q4,2025-02-19
Blackstone Real Estate Partners Europe V LP,2016,50000000.0,39653781.0,3506243.0,,1.21,0.1448,Louisiana Teachers,2019-Q4,2025-02-19
Crow Holdings Realty Partners VIII LP,2016,50000000.0,35294529.0,1694634.0,,1.1,0.1319,Louisiana Teachers,2019-Q4,2025-02-19
Oaktree Real Estate Opportunities Fund VII LP,2016,50000000.0,43976303.0,12376302.0,,1.26,0.2346,Louisiana Teachers,2019-Q4,2025-02-19
Carlyle Realty Partners VIII LP,2017,100000000.0,15985437.0,270432.0,,1.07,0.0796,Louisiana Teachers,2019-Q4,2025-02-19
Kayne Anderson Real Estate Partners V LP,2017,75000000.0,43593750.0,2024459.0,,1.11,0.0812,Louisiana Teachers,2019-Q4,2025-02-19
Blackstone Real Estate Partners IX LP,2018,50000000.0,8646032.0,191913.0,,1.01,0.0282,Louisiana Teachers,2019-Q4,2025-02-19
Blackstone Real Estate Partners Europe VI LP,2019,75000000.0,2329122.0,16005.0,,0.98,-0.025699999999999997,Louisiana Teachers,2019-Q4,2025-02-19
AEW Senior Housing Investors II LP,2014,40000000.0,34803005.0,36257226.0,,1.87,0.16140000000000002,Louisiana Teachers,2019-Q4,2025-02-19
Campus-Clarion Student Housing Partners LP,2014,22925000.0,17609817.0,4578855.0,,1.46,0.136,Louisiana Teachers,2019-Q4,2025-02-19
AEW Senior Housing Investors III LP,2016,50000000.0,42055408.0,3353876.0,,1.15,0.0721,Louisiana Teachers,2019-Q4,2025-02-19
Harbert U.S. Real Estate Fund VI LP,2016,50000000.0,42861160.0,7703914.0,,1.29,0.1317,Louisiana Teachers,2019-Q4,2025-02-19
Sares-Regis Multifamily Fund II LP,2016,40000000.0,37886374.0,10588824.0,,1.21,0.08349999999999999,Louisiana Teachers,2019-Q4,2025-02-19
